,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,female,0,Yes,No,-1.2802480369298872,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-1.1616939352451685,-0.9941940877241977,No
1,5575-GNVDE,male,0,No,No,0.06430268518835199,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,-0.2608779199297493,-0.17373981825040724,No
2,3668-QPYBK,male,0,No,No,-1.239504075653577,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,-0.3639232943754246,-0.9596491092068434,Yes
3,7795-CFOCW,male,0,No,No,0.512486259227765,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),-0.747850415293989,-0.19524770717404732,No
4,9237-HQITU,female,0,No,No,-1.239504075653577,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.19617817640187488,-0.94045745447498,Yes
5,9305-CDSKC,female,0,No,No,-0.9950403079957152,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1584890119510036,-0.6453692184426381,Yes
6,1452-KIOVK,male,0,No,Yes,-0.42462485012737133,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.8078023344020117,-0.14731268909089865,No
7,6713-OKOMC,female,0,No,No,-0.9135523854430947,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-1.1650179795821258,-0.8741690378436584,No
8,7892-POOKP,female,0,Yes,No,-0.18016108246950968,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.3296772953043026,0.33651554451135574,Yes
9,6388-TABGU,male,0,No,Yes,1.2051336009250397,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),-0.28747027462540753,0.5314762853391823,No
10,9763-GRSKD,male,0,Yes,Yes,-0.7913205016141638,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.4935610235167579,-0.7481879571842651,No
11,7469-LKBCI,male,0,No,No,-0.669088617785233,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.5240147679735105,-0.8631834699626608,No
12,8091-TTVAX,male,0,Yes,No,1.0421577558197985,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),1.181757322309704,1.4990665744239262,No
13,0280-XJGEX,male,0,No,No,0.6754621043330061,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.2931128075977727,1.2145888969272465,Yes
